 NP
  0.000000000000000E+000  !scissors operator
5.6091
     3.3231136     0.0000000     0.0000000
     0.0000000     4.3489554     0.0000000
     0.0000000     0.0000000    10.5137048
 written on 19Apr2023 at 22:44:49 
          32
          81
    4    2    2    2    2    2    2    2    4    2    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    2    2    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    2    2    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    2    4    2    2
    2    2    2    2    2    4
   -4   -4    0   21   15   -0.001567   -0.000164
   -4   -4    0   22   15   -0.000344   -0.000068
   -4   -4    0   23   15    0.000740    0.000096
   -4   -4    0   24   15    0.001086   -0.000359
   -4   -4    0   25   15   -0.001390    0.000050
   -4   -4    0   26   15    0.000118    0.000232
   -4   -4    0   27   15    0.001824   -0.000043
   -4   -4    0   28   15    0.000903   -0.000306
   -4   -4    0   29   15    0.000560    0.000031
   -4   -4    0   30   15    0.000218    0.000077
   -4   -4    0   31   15   -0.000123    0.000027
   -4   -4    0   32   15   -0.000239    0.000009
   -4   -4    0    1   16    0.001209   -0.000287
   -4   -4    0    2   16   -0.000270    0.001537
   -4   -4    0    3   16    0.001018    0.000482
   -4   -4    0    4   16    0.000262    0.000490
   -4   -4    0    5   16    0.000317   -0.000063
   -4   -4    0    6   16   -0.000095    0.000526
   -4   -4    0    7   16    0.000315   -0.000072
   -4   -4    0    8   16   -0.000234    0.000247
   -4   -4    0    9   16    0.000023   -0.000134
   -4   -4    0   10   16    0.000116   -0.000020
   -4   -4    0   11   16    0.000421   -0.000058
   -4   -4    0   12   16    0.000286    0.000088
   -4   -4    0   13   16    0.000187   -0.000170
   -4   -4    0   14   16    0.000204    0.000547
   -4   -4    0   15   16   -0.000182    0.000172
   -4   -4    0   16   16   -0.000330   -0.000000
   -4   -4    0   17   16    0.000611    0.000053
   -4   -4    0   18   16    0.000311   -0.000613
   -4   -4    0   19   16   -0.000615   -0.000028
   -4   -4    0   20   16    0.001009    0.000040
   -4   -4    0   21   16   -0.001605   -0.000339
   -4   -4    0   22   16    0.000022   -0.000921
   -4   -4    0   23   16    0.000946   -0.000056
   -4   -4    0   24   16    0.000903   -0.000281
   -4   -4    0   25   16    0.000877   -0.000242
   -4   -4    0   26   16    0.000920   -0.001010
   -4   -4    0   27   16    0.000873   -0.000266
   -4   -4    0   28   16    0.001501    0.000132
   -4   -4    0   29   16    0.000230    0.000106
   -4   -4    0   30   16    0.000111   -0.000267
   -4   -4    0   31   16    0.000697    0.000199
   -4   -4    0   32   16    0.000556    0.000386
   -4   -4    0    1   17   -0.000118    0.000021
   -4   -4    0    2   17    0.000776   -0.000261
   -4   -4    0    3   17   -0.000527    0.000067
   -4   -4    0    4   17    0.000669   -0.000283
   -4   -4    0    5   17    0.001323    0.000026
   -4   -4    0    6   17    0.000248   -0.000083
   -4   -4    0    7   17   -0.001253   -0.000017
   -4   -4    0    8   17    0.000094   -0.000098
   -4   -4    0    9   17   -0.000059   -0.000088
   -4   -4    0   10   17    0.000199    0.000015
   -4   -4    0   11   17    0.001588   -0.000186
   -4   -4    0   12   17    0.001600   -0.000381
   -4   -4    0   13   17   -0.000572   -0.000018
